dbn,n_prgm,school_name,diadetails,location,website,total_students,addtl_info1,school_accessibility_description,url,coor,lat,long,n,prgm_set
02M280,1,Manhattan Early College School for Advertising,,"411 Pearl Street, Manhattan NY 10038 (40.711441,-74.000851)",meca-nyc.org,445,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Dress Code,Early College,Extended Day Program,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/17690,"40.711441,-74.000851",40.711441,-74.000851,0.05,Manhattan Early College School for Advertising
02M282,1,Urban Assembly Maker Academy,Priority to applicants eligible for free lunch for 70% of seats,"411 Pearl Street, Manhattan NY 10038 (40.711441,-74.000851)",https://www.uamaker.nyc/,435,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Diversity in Admissions,Dress Code,Health Center,Online Grading System,Orientation",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/18351,"40.711441,-74.000851",40.711441,-74.000851,0.05,Urban Assembly Maker Academy
02M288,1,Food and Finance High School,,"525 West 50th Street, Manhattan NY 10019 (40.765474,-73.9927)",https://www.foodfinancehs.org,379,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Dress Code,Extended Day Program,Health Center,Internships Available,Multi-Session School,Online Grading System,Orientation,Summer Bridge,Summer Internships,Uniform",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/14771,"40.765474,-73.9927",40.765474,-73.9927,0.05,Food and Finance High School
02M294,1,Essex Street Academy,,"350 Grand Street, Manhattan NY 10002 (40.717329,-73.989329)",www.essexstreetacademy.org,338,"College Trips,Health Center,Internships Available,Online Grading System,Orientation",Not Accessible,https://www.myschools.nyc/en/schools/high-school/15830,"40.717329,-73.989329",40.717329,-73.989329,0.05,Essex Street Academy
02M296,1,High School of Hospitality Management,,"525 West 50th Street, Manhattan NY 10019 (40.765474,-73.9927)",hshm.info,337,"College Trips,Community Service Expected,Dress Code,Health Center,Internships Available,Multi-Session School,Online Grading System,Orientation,Summer Bridge,Summer Internships,Weekend Programs",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/19108,"40.765474,-73.9927",40.765474,-73.9927,0.05,High School of Hospitality Management
02M298,1,Pace High School,,"100 Hester Street, Manhattan NY 10002 (40.716231,-73.993607)",www.pacehsnyc.org,549,"College Trips,Community Service Expected,Online Grading System,Orientation,Summer Orientation",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/16338,"40.716231,-73.993607",40.716231,-73.993607,0.05,PACE High School
02M300,1,"Urban Assembly School of Design and Construction, The",,"525 West 50th Street, Manhattan NY 10019 (40.765474,-73.9927)",uasdc.org,263,"10th Grade Seats Available,Career and Technical Education (CTE)",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/16258,"40.765474,-73.9927",40.765474,-73.9927,0.05,Urban Assembly School of Design and Construction
02M303,2,"Facing History School, The",,"525 West 50th Street, Manhattan NY 10019 (40.765474,-73.9927)",www.facinghistoryschool.org,350,"10th Grade Seats Available,College Trips,Community School,Community Service Expected,Dress Code,Extended Day Credit Recovery,Health Center,Online Grading System,Orientation,Summer Bridge,Summer Orientation",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/17531,"40.765474,-73.9927",40.765474,-73.9927,0.1,"The Facing History School, Facing History School D75 Inclusion Program"
02M305,1,"Urban Assembly Academy of Government and Law, The",,"350 Grand Street, Manhattan NY 10002 (40.717329,-73.989329)",www.uaagl.org,322,"10th Grade Seats Available,College Trips,Community Service Expected,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Orientation,Uniform",Not Accessible,https://www.myschools.nyc/en/schools/high-school/17260,"40.717329,-73.989329",40.717329,-73.989329,0.05,The Urban Assembly Academy of Government and Law
02M308,1,Lower Manhattan Arts Academy,,"350 Grand Street, Manhattan NY 10002 (40.717329,-73.989329)",lomahs.nyc,314,"10th Grade Seats Available,College Trips,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships",Not Accessible,https://www.myschools.nyc/en/schools/high-school/16602,"40.717329,-73.989329",40.717329,-73.989329,0.05,Lower Manhattan Arts Academy
02M313,1,"James Baldwin School, The",,"351 West 18 Street, Manhattan NY 10011 (40.743407,-74.00254)",www.thejamesbaldwinschool.org,234,10th Grade Seats Available,Partially Accessible,https://www.myschools.nyc/en/schools/high-school/19769,"40.743407,-74.00254",40.743407,-74.00254,0.05,The James Baldwin School
02M316,2,"Urban Assembly School of Business for Young Women, The",,"26 Broadway, Manhattan NY 10004 (40.705688,-74.013303)",www.uasbyw.us,178,10th Grade Seats Available,Fully Accessible,https://www.myschools.nyc/en/schools/high-school/15264,"40.705688,-74.013303",40.705688,-74.013303,0.1,"NAF Academy of Finance and Information Technology (NAFAFIT), The Urban Assembly School of Business for Young Women"
02M374,3,Gramercy Arts High School,,"40 Irving Place, Manhattan NY 10003 (40.735361,-73.987064)",www.gramercyhs.org,449,"10th Grade Seats Available,College Trips,Community Service Expected,Dress Code,Extended Day Program,Extended Day Tutoring,Health Center,Internship Expected,Internships Available,Online Grading System,Summer Orientation",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/17296,"40.735361,-73.987064",40.735361,-73.987064,0.15,"Visual Arts, Theater Arts, Capstone Scholars"
02M376,1,NYC iSchool,Priority to applicants eligible for free or reduced price lunch for 66% of seats,"131 Avenue Of The Americas, Manhattan NY 10013 (40.72463,-74.005058)",nycischool.org,465,"10th Grade Seats Available,Diversity in Admissions,Dress Code,Online Grading System,Orientation",Not Accessible,https://www.myschools.nyc/en/schools/high-school/18400,"40.72463,-74.005058",40.72463,-74.005058,0.05,NYC iSchool
02M392,1,Manhattan Business Academy,,"351 West 18th Street, Manhattan NY 10011 (40.743407,-74.00254)",manhattanbusinessacademy.org,406,"10th Grade Seats Available,Career and Technical Education (CTE)",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/15018,"40.743407,-74.00254",40.743407,-74.00254,0.05,Manhattan Business Academy
02M393,1,Business of Sports School,,"439 West 49th Street, Manhattan NY 10019 (40.763655,-73.990318)",nycboss.org,428,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Tutoring,Internship Expected,Internships Available,Online Grading System,Summer Bridge,Summer Internships,Weekend Programs",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/14817,"40.763655,-73.990318",40.763655,-73.990318,0.05,Business of Sports School
02M394,1,Emma Lazarus High School for English Language Scholars,,"100 Hester Street, Manhattan NY 10002 (40.716231,-73.993607)",www.emmalazarus.org,307,10th Grade Seats Available,Fully Accessible,https://www.myschools.nyc/en/schools/high-school/19770,"40.716231,-73.993607",40.716231,-73.993607,0.05,Emma Lazarus High School for English Language Scholars
02M399,1,"High School for Language and Diplomacy, The",,"40 Irving Place, Manhattan NY 10003 (40.735361,-73.987064)",www.hsflad.org,274,"10th Grade Seats Available,College Trips,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Orientation,Weekend Programs",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/19602,"40.735361,-73.987064",40.735361,-73.987064,0.05,High School for Language and Diplomacy
02M400,2,High School for Environmental Studies,,"444 West 56th Street, Manhattan NY 10019 (40.767848,-73.98861)",www.envirostudies.org,1133,"10th Grade Seats Available,Extended Day Program,Health Center,LYFE (Living For The Young Family Through Education),Online Grading System,Orientation",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/19284,"40.767848,-73.98861",40.767848,-73.98861,0.1,"Environmental Studies, Honors Academy"
02M407,1,Institute for Collaborative Education (ICE),Priority to applicants eligible for free or reduced price lunch for 50% of seats,"345 East 15th Street, Manhattan NY 10003 (40.732665,-73.98259)",iceschoolnyc.org,489,10th Grade Seats Available,Partially Accessible,https://www.myschools.nyc/en/schools/high-school/17332,"40.732665,-73.98259",40.732665,-73.98259,0.05,Institute for Collaborative Education
02M408,4,Professional Performing Arts High School (PPAS),,"328 West 48th Street, Manhattan NY 10036 (40.761327,-73.988665)",www.ppasnyc.org,577,"10th Grade Seats Available,College Trips,Community Service Expected,Extended Day Program,Online Grading System",Not Accessible,https://www.myschools.nyc/en/schools/high-school/14947,"40.761327,-73.988665",40.761327,-73.988665,0.2,"Musical Theater, Drama, Classical Vocal Music, Dance"
02M411,1,Baruch College Campus High School,Priority to applicants eligible for free or reduced price lunch for 66% of seats,"55 East 25th Street, Manhattan NY 10010 (40.741888,-73.985723)",www.bcchsnyc.net,487,"10th Grade Seats Available,Diversity in Admissions",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/18172,"40.741888,-73.985723",40.741888,-73.985723,0.05,Baruch College Campus High School
02M412,2,N.Y.C. Lab School for Collaborative Studies,Priority to applicants eligible for free or reduced price lunch for 66% of seats,"333 West 17th Street, Manhattan NY 10011 (40.742512,-74.002222)",www.nyclabschool.org,514,"College Trips,Community Service Expected,Diversity in Admissions,Orientation,Weekend Programs",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/19473,"40.742512,-74.002222",40.742512,-74.002222,0.1,"College Prep, N.Y.C. Lab School for Collaborative Studies ASD Nest Program"
02M413,1,School of the Future High School,Priority to applicants eligible for free or reduced price lunch for 65% of seats,"127 East 22nd Street, Manhattan NY 10010 (40.739121,-73.985323)",www.sof.edu,717,10th Grade Seats Available,Partially Accessible,https://www.myschools.nyc/en/schools/high-school/16213,"40.739121,-73.985323",40.739121,-73.985323,0.05,School of the Future
02M414,1,N.Y.C. Museum School,Priority to applicants eligible for free or reduced price lunch for 50% of seats,"333 West 17th Street, Manhattan NY 10011 (40.742512,-74.002222)",www.nycmuseumschool.org,454,"10th Grade Seats Available,College Trips,Community Service Expected,Extended Day Tutoring,Online Grading System,Orientation",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/17464,"40.742512,-74.002222",40.742512,-74.002222,0.05,NYC Museum School
02M416,1,Eleanor Roosevelt High School,Priority to applicants eligible for free or reduced price lunch for 50% of seats,"411 East 76th Street, Manhattan NY 10021 (40.770288,-73.953276)",www.erhsnyc.org,541,"10th Grade Seats Available,Diversity in Admissions",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/17355,"40.770288,-73.953276",40.770288,-73.953276,0.05,Eleanor Roosevelt High School
02M418,2,Millennium High School,,"75 Broad Street, Manhattan NY 10004 (40.704697,-74.011202)",https://www.millenniumhs.org,674,"Community Service Expected,Online Grading System",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/15078,"40.704697,-74.011202",40.704697,-74.011202,0.1,"Millennium High School, Millennium High School D75 Inclusion Program"
02M419,1,Landmark High School,,"351 West 18th Street, Manhattan NY 10011 (40.743407,-74.00254)",https://www.landmarkhs.org/,335,"10th Grade Seats Available,College Trips,Health Center,Internships Available,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/18888,"40.743407,-74.00254",40.743407,-74.00254,0.05,Landmark High School
02M420,2,High School for Health Professions and Human Services,,"345 East 15th Street, Manhattan NY 10003 (40.732665,-73.98259)",hphsnyc.org,1822,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Program,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/19126,"40.732665,-73.98259",40.732665,-73.98259,0.1,"Science & Research M70A, Medical Assisting and Lab"
02M422,1,Quest to Learn,,"351 West 18th Street, Manhattan NY 10011 (40.743407,-74.00254)",q2l.org,581,"College Trips,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/16005,"40.743407,-74.00254",40.743407,-74.00254,0.05,Quest to Learn Upper School
02M425,2,Leadership and Public Service High School,,"90 Trinity Place, Manhattan NY 10006 (40.708971,-74.012465)",leadershipnyc.org,361,10th Grade Seats Available,Fully Accessible,https://www.myschools.nyc/en/schools/high-school/14876,"40.708971,-74.012465",40.708971,-74.012465,0.1,"Leadership and Public Service, Business and Entrepreneurship"
02M427,1,Manhattan Academy for Arts & Language,,"111 East 33rd Street, Manhattan NY 10016 (40.74651,-73.98107)",maalnyc.org,210,10th Grade Seats Available,Partially Accessible,https://www.myschools.nyc/en/schools/high-school/17106,"40.74651,-73.98107",40.74651,-73.98107,0.05,Manhattan Academy for Arts & Language
02M432,3,Murray Hill Academy,,"111 East 33rd Street, Manhattan NY 10016 (40.74651,-73.98107)",www.mhacademy.net,263,"10th Grade Seats Available,College Trips,Extended Day Credit Recovery,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Summer Orientation,Weekend Programs",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/19662,"40.74651,-73.98107",40.74651,-73.98107,0.15,"Murray Hill Academy - Integrated Studies, Mathematics & Computer Science, College Humanities Specialization"
02M437,2,Hudson High School of Learning Technologies,,"351 West 18th Street, Manhattan NY 10011 (40.743407,-74.00254)",www.hudsonhs.com,458,10th Grade Seats Available,Partially Accessible,https://www.myschools.nyc/en/schools/high-school/18226,"40.743407,-74.00254",40.743407,-74.00254,0.1,"Hudson High School of Learning Technologies, Hudson High School of Learning Technologies D75 Inclusion Program"
02M438,1,International High School at Union Square,,"40 Irving Place, Manhattan NY 10003 (40.735361,-73.987064)",www.ihs-us.org,351,10th Grade Seats Available,Fully Accessible,https://www.myschools.nyc/en/schools/high-school/17181,"40.735361,-73.987064",40.735361,-73.987064,0.05,International High School at Union Square
02M439,1,Manhattan Village Academy,,"43 West 22nd Street, Manhattan NY 10010 (40.741963,-73.991966)",https://hs439m.echalksites.com/,460,"10th Grade Seats Available,College Trips,Dress Code,Extended Day Program,Online Grading System,Orientation,Uniform,Weekend Programs",Not Accessible,https://www.myschools.nyc/en/schools/high-school/19145,"40.741963,-73.991966",40.741963,-73.991966,0.05,Manhattan Village Academy
02M449,1,Vanguard High School,,"317 East 67th Street, Manhattan NY 10065 (40.765638,-73.959777)",www.vanguardnyc.net,424,"College Trips,Extended Day Program,Health Center,LYFE (Living For The Young Family Through Education),Online Grading System,Orientation",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/16197,"40.765638,-73.959777",40.765638,-73.959777,0.05,College Preparatory
02M459,2,Manhattan International High School,,"317 East 67th Street, Manhattan NY 10065 (40.765638,-73.959777)",www.mihsnyc.org,301,"College Trips,Dress Code,Extended Day Tutoring,Health Center,Internships Available,LYFE (Living For The Young Family Through Education),Online Grading System,Orientation,Summer Internships",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/15693,"40.765638,-73.959777",40.765638,-73.959777,0.1,"The Manhattan International High School, Software Engineering Program (SEP"
02M475,1,Stuyvesant High School,,"345 Chambers Street, Manhattan NY 10282 (40.718025,-74.013921)",stuy.edu,3381,10th Grade Seats Available,Fully Accessible,https://www.myschools.nyc/en/schools/high-school/16211,"40.718025,-74.013921",40.718025,-74.013921,0.05,Stuyvesant High School
02M489,1,High School of Economics and Finance,,"100 Trinity Place, Manhattan NY 10006 (40.70927,-74.012328)",www.hseaf.net,738,"Career and Technical Education (CTE),College Trips,Community Service Expected,Health Center,Internships Available,Multi-Session School,Online Grading System,Orientation,Summer Bridge,Summer Internships",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/17950,"40.70927,-74.012328",40.70927,-74.012328,0.05,Economics and Finance
02M500,1,Unity Center for Urban Technologies,,"111 East 33rd Street, Manhattan NY 10016 (40.74651,-73.98107)",https://www.schools.nyc.gov/schools/M500,267,10th Grade Seats Available,Partially Accessible,https://www.myschools.nyc/en/schools/high-school/15648,"40.74651,-73.98107",40.74651,-73.98107,0.05,Unity Center for Urban Technologies
02M507,1,Urban Assembly Gateway School for Technology,,"439 West 49th Street, Manhattan NY 10019 (40.763655,-73.990318)",www.uagateway.org,453,"Career and Technical Education (CTE),College Trips,Dress Code,Extended Day Tutoring,Internship Expected,Internships Available,Online Grading System,Orientation,Summer Internships,Summer Orientation,Uniform,Weekend Programs",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/16836,"40.763655,-73.990318",40.763655,-73.990318,0.05,UA Gateway
02M519,5,Talent Unlimited High School,,"317 East 67th Street, Manhattan NY 10065 (40.765638,-73.959777)",tuhs.nyc,532,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Extended Day Tutoring,Health Center,Internships Available,LYFE (Living For The Young Family Through Education),Online Grading System,Orientation,Summer Internships,Weekend Programs",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/18963,"40.765638,-73.959777",40.765638,-73.959777,0.25,"Musical Theater, Vocal Music: Classical and Contemporary, Dance: Ballet and Modern, Drama, Instrumental Music"
02M520,2,Murry Bergtraum High School for Business Careers,,"411 Pearl Street, Manhattan NY 10038 (40.711441,-74.000851)",https://www.schools.nyc.gov/schools/M520,114,10th Grade Seats Available,Fully Accessible,https://www.myschools.nyc/en/schools/high-school/18742,"40.711441,-74.000851",40.711441,-74.000851,0.1,"The Ninth Grade Academy, The Blazer Early College Preparatory Academy"
02M529,2,Jacqueline Kennedy Onassis High School,,"120 West 46th Street, Manhattan NY 10036 (40.757626,-73.98346)",JKOhighschool.org,302,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/15297,"40.757626,-73.98346",40.757626,-73.98346,0.1,"Virtual Enterprise and Entrepreneurship, Hospitality and Tourism"
02M531,1,Repertory Company High School for Theatre Arts,Priority to applicants eligible for free lunch for 40% of seats,"123 West 43rd Street, Manhattan NY 10036 (40.756089,-73.984381)",www.repertorycompanyhs.org,237,"10th Grade Seats Available,College Trips,Diversity in Admissions,Dress Code,Extended Day Program,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/15319,"40.756089,-73.984381",40.756089,-73.984381,0.05,Theater Arts
02M533,2,Union Square Academy for Health Sciences,,"40 Irving Place, Manhattan NY 10003 (40.735361,-73.987064)",Unionsquareacademy.org,404,Career and Technical Education (CTE),Fully Accessible,https://www.myschools.nyc/en/schools/high-school/18895,"40.735361,-73.987064",40.735361,-73.987064,0.1,"Pharmacy Technician, Dental Laboratory Technician"
02M534,2,Harvest Collegiate High School,"Priority to applicants eligible for free lunch for 63% of seats: first to Manhattan students or residents, and then to New York City residents","34 West 14th Street, Manhattan NY 10011 (40.736416,-73.995731)",harvestcollegiate.org,440,"10th Grade Seats Available,Diversity in Admissions",Not Accessible,https://www.myschools.nyc/en/schools/high-school/17059,"40.736416,-73.995731",40.736416,-73.995731,0.1,"Harvest Collegiate High School, Harvest Collegiate High School D75 Inclusion Program"
02M542,4,Manhattan Bridges High School,,"525 West 50th Street, Manhattan NY 10019 (40.765474,-73.9927)",https://sites.google.com/manhattanbridgeshs.org/mbhs/home,520,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Dress Code,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,Multi-Session School,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Uniform,Weekend Programs",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/19175,"40.765474,-73.9927",40.765474,-73.9927,0.2,"Academy of Computer Science and Graphic Design (Bilingual), Bilingual Spanish Pre-Engineering, Dual Language Spanish Pre-Engineering, Academy of Computer Science and Graphic Design (Dual Language"
02M543,1,New Design High School,,"350 Grand Street, Manhattan NY 10002 (40.717329,-73.989329)",www.newdesignhigh.com,454,"College Trips,Extended Day Credit Recovery,Health Center,Internships Available,Orientation,Summer Bridge,Summer Orientation",Not Accessible,https://www.myschools.nyc/en/schools/high-school/17687,"40.717329,-73.989329",40.717329,-73.989329,0.05,New Design High School
02M544,1,Independence High School,,"850 10th Avenue, Manhattan NY 10019 (40.767848,-73.98861)",https://www.ihsnyc.com,342,"10th Grade Seats Available,LYFE (Living For The Young Family Through Education)",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/18185,"40.767848,-73.98861",40.767848,-73.98861,0.05,Independence High School
02M545,1,High School for Dual Language and Asian Studies,,"350 Grand Street, Manhattan NY 10002 (40.717329,-73.989329)",https://www.schools.nyc.gov/schools/M545,396,"College Trips,Dress Code,Extended Day Program,Extended Day Tutoring,Multi-Session School,Online Grading System,Orientation,Weekend Programs",Not Accessible,https://www.myschools.nyc/en/schools/high-school/14757,"40.717329,-73.989329",40.717329,-73.989329,0.05,High School for Dual Language and Asian Studies
02M546,1,Academy for Software Engineering (AFSE),Priority to applicants eligible for free or reduced price lunch for 69% of seats,"40 Irving Place, Manhattan NY 10003 (40.735361,-73.987064)",afsenyc.org,453,"Career and Technical Education (CTE),College Trips,Diversity in Admissions,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/19052,"40.735361,-73.987064",40.735361,-73.987064,0.05,Academy for Software Engineering (AFSE
02M550,1,Liberty High School Academy for Newcomers,,"250 West 18th St, Manhattan NY 10011 (40.74182,-74.000238)",www.libertyhsnyc.com,428,"College Trips,Extended Day Program (Credit Recovery),Summer Orientation",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/19771,"40.74182,-74.000238",40.74182,-74.000238,0.05,Liberty High School Academy for Newcomers
02M551,1,Urban Assembly New York Harbor School,Priority to applicants eligible for free or reduced price lunch for 69% of seats,"10 South Street, Slip 7, Manhattan NY 10004 (40.689493,-74.018941)",www.newyorkharborschool.org,523,"Career and Technical Education (CTE),Diversity in Admissions",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/15447,"40.689493,-74.018941",40.689493,-74.018941,0.05,Marine Science and Technology
02M560,1,City-As-School,,"16 Clarkson Street, Manhattan NY 10014 (40.729052,-74.006155)",www.cityas.org,607,,,https://www.myschools.nyc/en/schools/high-school/19940,"40.729052,-74.006155",40.729052,-74.006155,0.05,City-As-School
02M580,2,Richard R. Green High School of Teaching,,"7 Beaver Street, Manhattan NY 10004 (40.705688,-74.013303)",https://www.rrghst.org/,352,"10th Grade Seats Available,College Trips,Community School,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/17162,"40.705688,-74.013303",40.705688,-74.013303,0.1,"Teaching Academy, Liberal Arts Academy"
02M586,1,Harvey Milk High School,,"2 Astor Place, Manhattan NY 10003 (40.736999,-73.978085)",www.hmhsnyc.org,75,10th Grade Seats Available,Fully Accessible,https://www.myschools.nyc/en/schools/high-school/19772,"40.736999,-73.978085",40.736999,-73.978085,0.05,Harvey Milk High School
02M600,4,"High School of Fashion Industries, The",,"225 West 24th Street, Manhattan NY 10011 (40.745677,-73.996354)",hsfi.nyc,1589,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,Multi-Session School,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/15200,"40.745677,-73.996354",40.745677,-73.996354,0.2,"Art, Photography, and Graphic Design, Fashion Design and Accessories, Business Marketing and Visual Merchandising, The High School of Fashion Industries D75 Inclusion Program"
