dbn,program,program_name,grade9geapplicantsperseat,grade9swdapplicantsperseat,eligibility,prgdesc,admissionspriority1,admissionspriority2,admissionspriority3,admissionspriority4,requirement_1,requirement_2,requirement_3,requirement_4,requirement_5,school_name,diadetails,location,website,total_students,addtl_info1,school_accessibility_description
02M260,program1,The Clinton School,28,12,NA,"We are an International Baccalaureate (IB) World School, offering the Diploma Programme (DP). Clinton students become active, compassionate and lifelong learners. We pair the DP with The Yale Center for Emotional Intelligence to develop global citizens. Our program is an ""IB for ALL."" Students complete NYS Regents by the end of 10th grade. All IB DP candidates complete a 4,000 word research essay, a theory of knowledge course (ToK), and engage in creativity, action, and service projects (CAS).",Priority to continuing 8th graders,Then to Manhattan students or residents,Then to New York City residents,NA,2018-19 Final Grades - 20%,2019-20 Marking Period Grades - 80%,NA,NA,NA,"Clinton School, The",Priority to applicants eligible for free or reduced price lunch for 33% of seats,"10 East 15th Street, Manhattan NY 10003 (40.736526,-73.992727)",theclintonschool.net,776,"College Trips,Community Service Expected,Extended Day Tutoring,Internships Available,Online Grading System,Orientation",Fully Accessible
02M280,program1,Manhattan Early College School for Advertising,12,8,NA,"Students engage in a rigorous, project-based curriculum that blends art, technology, and creative problem solving. Students have the option to graduate from MECA after four years with a CTE-endorsed high school diploma and up to 36 college credits or to stay for six years and graduate with a high school diploma, an Associate Degree from the Borough of Manhattan Community College (BMCC) and two years of paid work experience.",Priority to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Manhattan Early College School for Advertising,NA,"411 Pearl Street, Manhattan NY 10038 (40.711441,-74.000851)",meca-nyc.org,445,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Dress Code,Early College,Extended Day Program,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",Fully Accessible
02M282,program1,Urban Assembly Maker Academy,9,10,NA,"Typical 9th grade schedules include Physics, Algebra or Geometry, US History, ELA, Health, Advisory, Physical Education, Foundations of Computer Science, and Foundations of Design.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Urban Assembly Maker Academy,Priority to applicants eligible for free lunch for 70% of seats,"411 Pearl Street, Manhattan NY 10038 (40.711441,-74.000851)",https://www.uamaker.nyc/,435,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Diversity in Admissions,Dress Code,Health Center,Online Grading System,Orientation",Fully Accessible
02M288,program1,Food and Finance High School,14,18,NA,Focuses on Culinary Arts in cooking and baking and the financial aspects related to the industry.,Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Food and Finance High School,NA,"525 West 50th Street, Manhattan NY 10019 (40.765474,-73.9927)",https://www.foodfinancehs.org,379,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Dress Code,Extended Day Program,Health Center,Internships Available,Multi-Session School,Online Grading System,Orientation,Summer Bridge,Summer Internships,Uniform",Partially Accessible
02M294,program1,Essex Street Academy,34,33,NA,"We provide a supportive, performance-based, college-preparatory program for all students. Please visit our school website for tour and open house dates.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Essex Street Academy,NA,"350 Grand Street, Manhattan NY 10002 (40.717329,-73.989329)",www.essexstreetacademy.org,338,"College Trips,Health Center,Internships Available,Online Grading System,Orientation",Not Accessible
02M296,program1,High School of Hospitality Management,5,6,NA,Regents-based courses and a 12-unit sequence in hospitality management in which students earn two industry certifications.,Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,High School of Hospitality Management,NA,"525 West 50th Street, Manhattan NY 10019 (40.765474,-73.9927)",hshm.info,337,"College Trips,Community Service Expected,Dress Code,Health Center,Internships Available,Multi-Session School,Online Grading System,Orientation,Summer Bridge,Summer Internships,Weekend Programs",Partially Accessible
02M298,program1,PACE High School,23,14,NA,"Liberal Arts college preparation curriculum where four years of English language arts, social studies, mathematics, and science are expected of all students. Program will also consist of arts, health, foreign language, and elective courses.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Pace High School,NA,"100 Hester Street, Manhattan NY 10002 (40.716231,-73.993607)",www.pacehsnyc.org,549,"College Trips,Community Service Expected,Online Grading System,Orientation,Summer Orientation",Fully Accessible
02M300,program1,Urban Assembly School of Design and Construction,4,5,NA,NA,Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,"Urban Assembly School of Design and Construction, The",NA,"525 West 50th Street, Manhattan NY 10019 (40.765474,-73.9927)",uasdc.org,263,"10th Grade Seats Available,Career and Technical Education (CTE)",Partially Accessible
02M303,program1,The Facing History School,4,7,NA,"Our relevant, academically rigorous program and the supportive, caring structures we have in place make us an excellent learning community. With our lead partner, Facing History, we help prepare our students for the ethical and moral decisions of adulthood. As a member of the NYS Performance Standards Consortium, we are part of a waiver that allows our students to graduate with a Regents Diploma using performance-based assessment tasks in all core subjects and the ELA Regents.",Priority to District 3 students or residents,Then to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,"Facing History School, The",NA,"525 West 50th Street, Manhattan NY 10019 (40.765474,-73.9927)",www.facinghistoryschool.org,350,"10th Grade Seats Available,College Trips,Community School,Community Service Expected,Dress Code,Extended Day Credit Recovery,Health Center,Online Grading System,Orientation,Summer Bridge,Summer Orientation",Partially Accessible
02M303,program2,Facing History School D75 Inclusion Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Facing History School, The",NA,"525 West 50th Street, Manhattan NY 10019 (40.765474,-73.9927)",www.facinghistoryschool.org,350,"10th Grade Seats Available,College Trips,Community School,Community Service Expected,Dress Code,Extended Day Credit Recovery,Health Center,Online Grading System,Orientation,Summer Bridge,Summer Orientation",Partially Accessible
02M305,program1,The Urban Assembly Academy of Government and Law,8,5,NA,"Students take law themed and government courses such as Law & Ethics, Forensic Science, Advanced Law Topics, Government, US History and Advanced Placement US History.",Priority to Districts 1 and 2 students or residents,Then to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,"Urban Assembly Academy of Government and Law, The",NA,"350 Grand Street, Manhattan NY 10002 (40.717329,-73.989329)",www.uaagl.org,322,"10th Grade Seats Available,College Trips,Community Service Expected,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Orientation,Uniform",Not Accessible
02M308,program1,Lower Manhattan Arts Academy,15,19,NA,"All freshmen complete a one year rotation of the four arts before choosing a major that they focus on for their final three years. As a major of visual arts, dance, drama or music they study the technique and history of their art in social context before participating in a senior internship. Every student takes part in several performances/gallery exhibits prior to graduation. These have taken place at the Whitney, Metropolitan Opera House, Broadway stages and professional recording studios.",Priority to Districts 1 and 2 students or residents,Then to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,Lower Manhattan Arts Academy,NA,"350 Grand Street, Manhattan NY 10002 (40.717329,-73.989329)",lomahs.nyc,314,"10th Grade Seats Available,College Trips,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships",Not Accessible
02M313,program1,The James Baldwin School,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"James Baldwin School, The",NA,"351 West 18 Street, Manhattan NY 10011 (40.743407,-74.00254)",www.thejamesbaldwinschool.org,234,10th Grade Seats Available,Partially Accessible
02M316,program1,NAF Academy of Finance and Information Technology (NAFAFIT),1,1,Open only to Female-Identified students,"This program will prepare our young women for careers in business, finance, programming, database administration, web design and management, digital networks, and other areas in the Business and Technology fields. They are also able to earn the NAFTrack Certification which will signify that they are both college and career ready.",Priority to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,"Urban Assembly School of Business for Young Women, The",NA,"26 Broadway, Manhattan NY 10004 (40.705688,-74.013303)",www.uasbyw.us,178,10th Grade Seats Available,Fully Accessible
02M316,program2,The Urban Assembly School of Business for Young Women,2,1,Open only to Female-Identified students,"We prepare our young women for careers in all areas of business. In addition to studying a business-focused curriculum and working on collaborative projects they also participate in job shadowing, business trips, mock interviews, mentoring and college preparatory programs.",Priority to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,"Urban Assembly School of Business for Young Women, The",NA,"26 Broadway, Manhattan NY 10004 (40.705688,-74.013303)",www.uasbyw.us,178,10th Grade Seats Available,Fully Accessible
02M374,program1,Visual Arts,5,5,NA,"Students enrolled in this program experience an education with an emphasis on skills and technologies that can lead to 21st century employment using digital design, computer aided drafting, website design, product design and careers yet to be discovered! Content increases in rigor as students progress through the years. Students keep a portfolio of work so that they may not only reflect on their learning but use these portfolios as evidence and discussion points at job and college interviews.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Gramercy Arts High School,NA,"40 Irving Place, Manhattan NY 10003 (40.735361,-73.987064)",www.gramercyhs.org,449,"10th Grade Seats Available,College Trips,Community Service Expected,Dress Code,Extended Day Program,Extended Day Tutoring,Health Center,Internship Expected,Internships Available,Online Grading System,Summer Orientation",Fully Accessible
02M374,program2,Theater Arts,5,5,NA,"The Theater Arts are used as a conduit for self-confidence and self-awareness so that graduates can be engaging in both theaters and board rooms. A 4-year curriculum is offered where students can take 1-2 periods of theater daily. Students acquire skills used in theatre and performance as well as other career paths. Learners focus on directing, playwriting, musical theater, and technical design. An senior-year Exit Project is completed for all students so they may earn an arts endorsed diploma.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Gramercy Arts High School,NA,"40 Irving Place, Manhattan NY 10003 (40.735361,-73.987064)",www.gramercyhs.org,449,"10th Grade Seats Available,College Trips,Community Service Expected,Dress Code,Extended Day Program,Extended Day Tutoring,Health Center,Internship Expected,Internships Available,Online Grading System,Summer Orientation",Fully Accessible
02M374,program3,Capstone Scholars,5,3,NA,"The Capstone Scholars program is a college readiness program that exposes students to AP Courses throughout their four-year high school tenure. Students select courses in English, History, Math, and Science and complete AP exams to earn 15-30 college credits. Scholars will complete a four-year study of Theater to earn their Arts Endorsed Diploma and an Advanced Regents Diploma. In the 12th grade, students have the opportunity to apply for a 'Capstone' or internship in a field of their choosing.",Open to New York City residents,NA,NA,NA,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 40%,Interview - 20%,NA,NA,Gramercy Arts High School,NA,"40 Irving Place, Manhattan NY 10003 (40.735361,-73.987064)",www.gramercyhs.org,449,"10th Grade Seats Available,College Trips,Community Service Expected,Dress Code,Extended Day Program,Extended Day Tutoring,Health Center,Internship Expected,Internships Available,Online Grading System,Summer Orientation",Fully Accessible
02M376,program1,NYC iSchool,44,19,NA,NA,Open to New York City residents,NA,NA,NA,Online Admissions Activity - 100%,NA,NA,NA,NA,NYC iSchool,Priority to applicants eligible for free or reduced price lunch for 66% of seats,"131 Avenue Of The Americas, Manhattan NY 10013 (40.72463,-74.005058)",nycischool.org,465,"10th Grade Seats Available,Diversity in Admissions,Dress Code,Online Grading System,Orientation",Not Accessible
02M392,program1,Manhattan Business Academy,13,10,NA,"All students take a rigorous Regents and college-preparatory curriculum. They are academically, socially, and emotionally supported by a strong advisory program and dedicated college counselors (through the College Bound Initiative). We promote a diverse student body.",Priority to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Manhattan Business Academy,NA,"351 West 18th Street, Manhattan NY 10011 (40.743407,-74.00254)",manhattanbusinessacademy.org,406,"10th Grade Seats Available,Career and Technical Education (CTE)",Partially Accessible
02M393,program1,Business of Sports School,12,15,NA,NA,Priority to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Business of Sports School,NA,"439 West 49th Street, Manhattan NY 10019 (40.763655,-73.990318)",nycboss.org,428,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Tutoring,Internship Expected,Internships Available,Online Grading System,Summer Bridge,Summer Internships,Weekend Programs",Partially Accessible
02M394,program1,Emma Lazarus High School for English Language Scholars,NA,NA,Open only to New York City residents who currently identify as English Language Learners (ELL) or who have lived in the continental United States fewer than three years.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Emma Lazarus High School for English Language Scholars,NA,"100 Hester Street, Manhattan NY 10002 (40.716231,-73.993607)",www.emmalazarus.org,307,10th Grade Seats Available,Fully Accessible
02M399,program1,High School for Language and Diplomacy,2,1,NA,"Through a challenging academic program that provides opportunities for public service and global awareness, our students learn the craft of international diplomacy while developing their technological and communication skills. Students also have the opportunity to achieve proficiency in Mandarin through an intensive, engaging program designed for students of all levels, including those who have never studied the language before.",Priority to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,"High School for Language and Diplomacy, The",NA,"40 Irving Place, Manhattan NY 10003 (40.735361,-73.987064)",www.hsflad.org,274,"10th Grade Seats Available,College Trips,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Orientation,Weekend Programs",Fully Accessible
02M400,program1,Environmental Studies,8,6,NA,"Interdisciplinary program emphasizing environmental studies: the natural environment, the urban environment, and environmental ethics. Students are expected to engage in research, environmental projects and internships, and complete a senior thesis.",Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,High School for Environmental Studies,NA,"444 West 56th Street, Manhattan NY 10019 (40.767848,-73.98861)",www.envirostudies.org,1133,"10th Grade Seats Available,Extended Day Program,Health Center,LYFE (Living For The Young Family Through Education),Online Grading System,Orientation",Partially Accessible
02M400,program2,Honors Academy,38,11,NA,"Mathematics and science research, work in university laboratories.",Open to New York City residents,NA,NA,NA,2018-19 ELA/Math State Test Scores - 20%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 40%,NA,NA,High School for Environmental Studies,NA,"444 West 56th Street, Manhattan NY 10019 (40.767848,-73.98861)",www.envirostudies.org,1133,"10th Grade Seats Available,Extended Day Program,Health Center,LYFE (Living For The Young Family Through Education),Online Grading System,Orientation",Partially Accessible
02M407,program1,Institute for Collaborative Education,16,10,NA,"Humanities (History & Literature), Mathematics, Applied Sciences, Spanish, Arts & Electives.",Priority to continuing 8th graders,Then to New York City residents,NA,NA,Essay - 100%,NA,NA,NA,NA,Institute for Collaborative Education (ICE),Priority to applicants eligible for free or reduced price lunch for 50% of seats,"345 East 15th Street, Manhattan NY 10003 (40.732665,-73.98259)",iceschoolnyc.org,489,10th Grade Seats Available,Partially Accessible
02M408,program1,Musical Theater,12,8,NA,"In partnership with Rosie's Theater Kids, students receive pre-conservatory training in vocal music, dance, and acting. All first and second year students participate in an annual musical theater concert. All third and fourth year students perform in an end-of-year main-stage musical production. Audition Location: Maravel Arts Center, 445 W 45th Street.",Priority to continuing 8th graders,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Professional Performing Arts High School (PPAS),NA,"328 West 48th Street, Manhattan NY 10036 (40.761327,-73.988665)",www.ppasnyc.org,577,"10th Grade Seats Available,College Trips,Community Service Expected,Extended Day Program,Online Grading System",Not Accessible
02M408,program2,Drama,15,9,NA,"In partnership with the professional theater company Waterwell, and built around the core values: engagement and empathy. Students take daily conservatory-style class in acting, movement/devising, voice & speech and theater studies. Each grade also participates in supplementary performance projects including classics, new play commissions, and student-created work. Goal is to develop exemplary artists who are equally engaged citizens. Audition Location: PPAS, 328 West 48th Street.",Priority to continuing 8th graders,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Professional Performing Arts High School (PPAS),NA,"328 West 48th Street, Manhattan NY 10036 (40.761327,-73.988665)",www.ppasnyc.org,577,"10th Grade Seats Available,College Trips,Community Service Expected,Extended Day Program,Online Grading System",Not Accessible
02M408,program3,Classical Vocal Music,8,6,NA,"In partnership with National Chorale, students attend conservatory classes in vocal technique, sight reading, musicianship, ear training, and ensemble singing. Students study an extensive vocal repertory, music history, theory, performance technique, and movement for singers. Students participate in ensemble and solo performances throughout the year. Audition Location: PPAS, 328 West 48th Street.",Priority to continuing 8th graders,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Professional Performing Arts High School (PPAS),NA,"328 West 48th Street, Manhattan NY 10036 (40.761327,-73.988665)",www.ppasnyc.org,577,"10th Grade Seats Available,College Trips,Community Service Expected,Extended Day Program,Online Grading System",Not Accessible
02M408,program4,Dance,14,8,NA,"In partnership with the Ailey School, students follow a course of study with a foundation in ballet and classes in Horton technique, modern (Graham-based) jazz, and West African dance. Audition Location: The Ailey School, 405 West 55th Street.",Priority to continuing 8th graders,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Professional Performing Arts High School (PPAS),NA,"328 West 48th Street, Manhattan NY 10036 (40.761327,-73.988665)",www.ppasnyc.org,577,"10th Grade Seats Available,College Trips,Community Service Expected,Extended Day Program,Online Grading System",Not Accessible
02M411,program1,Baruch College Campus High School,64,24,NA,Comprehensive interdisciplinary liberal arts program.,Priority to District 2 students or residents,Then to Manhattan students or residents,Then to New York City residents,NA,2018-19 Final Grades - 50%,2019-20 Marking Period Grades - 50%,NA,NA,NA,Baruch College Campus High School,Priority to applicants eligible for free or reduced price lunch for 66% of seats,"55 East 25th Street, Manhattan NY 10010 (40.741888,-73.985723)",www.bcchsnyc.net,487,"10th Grade Seats Available,Diversity in Admissions",Fully Accessible
02M412,program1,College Prep,34,24,NA,Collaborative work and interdisciplinary projects.,Priority to District 2 students or residents,Then to Manhattan students or residents,Then to New York City residents,NA,2018-19 Final Grades - 50%,2019-20 Marking Period Grades - 50%,NA,NA,NA,N.Y.C. Lab School for Collaborative Studies,Priority to applicants eligible for free or reduced price lunch for 66% of seats,"333 West 17th Street, Manhattan NY 10011 (40.742512,-74.002222)",www.nyclabschool.org,514,"College Trips,Community Service Expected,Diversity in Admissions,Orientation,Weekend Programs",Fully Accessible
02M412,program2,N.Y.C. Lab School for Collaborative Studies ASD Nest Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,N.Y.C. Lab School for Collaborative Studies,Priority to applicants eligible for free or reduced price lunch for 66% of seats,"333 West 17th Street, Manhattan NY 10011 (40.742512,-74.002222)",www.nyclabschool.org,514,"College Trips,Community Service Expected,Diversity in Admissions,Orientation,Weekend Programs",Fully Accessible
02M413,program1,School of the Future,25,16,NA,NA,Priority to continuing 8th graders,Then to District 2 students or residents,Then to Manhattan students or residents,Then to New York City residents,Essay - 50%,Interview - 50%,NA,NA,NA,School of the Future High School,Priority to applicants eligible for free or reduced price lunch for 65% of seats,"127 East 22nd Street, Manhattan NY 10010 (40.739121,-73.985323)",www.sof.edu,717,10th Grade Seats Available,Partially Accessible
02M414,program1,NYC Museum School,31,15,NA,"Our regular curriculum aligns with the standards and expectations for all students to graduate with a New York State Advanced Regents Diploma, in addition to the possibility of earning college credit through AP classes. As a part of this curriculum, students participate in twelve week-long museum module projects throughout 9th, 10th, and 11th grades. Students are expected to take and pass all Regents and AP exams for the courses in which they are enrolled.",Priority to District 2 students or residents,Then to New York City residents,NA,NA,2018-19 Final Grades - 50%,2019-20 Marking Period Grades - 50%,NA,NA,NA,N.Y.C. Museum School,Priority to applicants eligible for free or reduced price lunch for 50% of seats,"333 West 17th Street, Manhattan NY 10011 (40.742512,-74.002222)",www.nycmuseumschool.org,454,"10th Grade Seats Available,College Trips,Community Service Expected,Extended Day Tutoring,Online Grading System,Orientation",Fully Accessible
02M416,program1,Eleanor Roosevelt High School,54,16,NA,We offer students a comprehensive liberal arts curriculum across all disciplines. Students are given the opportunity to pursue higher level courses across the humanities and STEM fields.,Priority to District 2 students or residents,Then to Manhattan students or residents,Then to New York City residents,NA,2018-19 Final Grades - 50%,2019-20 Marking Period Grades - 50%,NA,NA,NA,Eleanor Roosevelt High School,Priority to applicants eligible for free or reduced price lunch for 50% of seats,"411 East 76th Street, Manhattan NY 10021 (40.770288,-73.953276)",www.erhsnyc.org,541,"10th Grade Seats Available,Diversity in Admissions",Partially Accessible
02M418,program1,Millennium High School,47,15,NA,Comprehensive interdisciplinary liberal arts program with many opportunities for AP courses; Exhibition (a long-frame individual research paper and related presentation) in grade 12.,Priority to students who live or attend school south of East Houston or West Houston Street,Then to New York City residents,NA,NA,2018-19 ELA/Math State Test Scores - 20%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 40%,NA,NA,Millennium High School,NA,"75 Broad Street, Manhattan NY 10004 (40.704697,-74.011202)",https://www.millenniumhs.org,674,"Community Service Expected,Online Grading System",Fully Accessible
02M418,program2,Millennium High School D75 Inclusion Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Millennium High School,NA,"75 Broad Street, Manhattan NY 10004 (40.704697,-74.011202)",https://www.millenniumhs.org,674,"Community Service Expected,Online Grading System",Fully Accessible
