dbn,program,program_name,grade9geapplicantsperseat,grade9swdapplicantsperseat,eligibility,prgdesc,admissionspriority1,admissionspriority2,admissionspriority3,admissionspriority4,requirement_1,requirement_2,requirement_3,requirement_4,requirement_5,school_name,diadetails,location,website,total_students,addtl_info1,school_accessibility_description,url,rqr1,rqr2,rqr3,rqr4,rqr5,three_rqr,top_priority,ge_per_seat,lat,long,counter,ell,interest,code,id,extracurricular_activities,school_sports,language_classes,neighborhood,info,lunch,girls,boys,international,specialized,pbat,ptech,transfer,earlycollege,sport,academicopportunities1,number,offer_rate1,graduation_rate,overview_paragraph
04M372,program2,Esperanza Preparatory Academy D75 Inclusion Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Esperanza Preparatory Academy,NA,"240 East 109th Street, Manhattan NY 10029 (40.792556,-73.942285)",https://epaschool.org/,525,Community School,Partially Accessible,https://www.myschools.nyc/en/schools/high-school/15922,NA,NA,NA,NA,NA,NA,No Priority,NA,40.792556,-73.942285,0,Spanish,,A37U,A37U Esperanza Preparatory Academy D75 Inclusion Program,,,Spanish,East Harlem South,"04M372,Esperanza Preparatory Academy,Spanish,East Harlem South",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Baseball,Basketball,Soccer,Basketball,Volleyball","Dual Language Program, Career and College Counseling and Advisory, CUNY College Now Courses",2,,0.75999999,"Esperanza Preparatory Academy (EPA) is a dual-language college preparation school. Students master Spanish as a native or second language, as well as academic, social, and communication skills. We offer students Spanish courses with the goal that they will be able to take college and Advanced Placement (AP) courses in Spanish Literature, and become proficient in both Spanish and English. We prepare students for college by providing them with internship opportunities and a mentor that will expose them to college life/academics. Students work collaboratively with their mentors to arrange college tours and develop college portfolios, and have the opportunity to take college courses."
04M435,program1,Science & Mathematics Research,15,5,NA,"Our mission is to provide each student with the best possible and greatest number of college admissions choices by senior year. Students are prepared to be college ready by providing them with challenging courses, academic supports ensuring achievement, and detailed enrichment programs to help construct a strong college resume. While math and science are their strengths, we focus on college-readiness, reading, and writing. More than 50% of our students are enrolled in AP courses.",Priority to students attending Isaac Newton Middle School for Math & Science,Then to District 4 students or residents,Then to New York City residents,NA,2018-19 ELA/Math State Test Scores - 45%,2018-19 Final Grades - 28%,2019-20 Marking Period Grades - 27%,NA,NA,Manhattan Center for Science and Mathematics,NA,"260 Pleasant Avenue, Manhattan NY 10029 (40.794184,-73.932868)",mcsm.net,1647,"10th Grade Seats Available,Career and Technical Education (CTE)",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/19499,2018-19 ELA/Math State Test Scores,2018-19 Final Grades,2019-20 Marking Period Grades,NA,NA,TRUE,Other,15,40.794184,-73.932868,0,Spanish,Science & Math,M16J,M16J Science & Mathematics Research,,,"French, Spanish",East Harlem North,"04M435,Manhattan Center for Science and Mathematics,Science & Math,French,Spanish,East Harlem North",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Baseball,Basketball,Bowling,Cross Country,Indoor Track,Outdoor Track,Soccer,Tennis,Volleyball,Basketball,Bowling,Soccer,Softball,Table Tennis,Volleyball",Grade 11 students take a mandated SAT prep program designed and taught by MCSM teachers. This program has significantly raised average SAT scores.,1,2% of offers went to this group,0.97000003,"We are a college preparatory high school. Course offerings and high standards enable students to succeed after graduation at the nation's most selective colleges. Our teachers provide each student with personalized attention and guidance. We provide four years of science and math with extensive liberal arts. Every freshman will take a year-long writing intensive small class-size English course to prepare them for college. Most students take Advanced Placement (AP) courses. Many of our students take college courses though Columbia University DDC and CUNY College Now program. Our students participate in scientific research with university mentors, some resulting in publication. A new SAT/ACT initiative helps students' competitive standings."
04M435,program2,Bilingual Spanish Science & Mathematics,16,8,Open only to New York City residents whose home language is Spanish,"Bilingual students follow the same academic programming and rigor of general education students, while guaranteed language support ensuring equitable college-ready opportunities.",Priority to students attending Isaac Newton Middle School for Math & Science,Then to District 4 students or residents,Then to New York City residents whose home language is Spanish,NA,NA,NA,NA,NA,NA,Manhattan Center for Science and Mathematics,NA,"260 Pleasant Avenue, Manhattan NY 10029 (40.794184,-73.932868)",mcsm.net,1647,"10th Grade Seats Available,Career and Technical Education (CTE)",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/19499,NA,NA,NA,NA,NA,NA,Other,16,40.794184,-73.932868,0,Spanish,Science & Math,M16K,M16K Bilingual Spanish Science & Mathematics,,,"French, Spanish",East Harlem North,"04M435,Manhattan Center for Science and Mathematics,Science & Math,French,Spanish,East Harlem North",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Baseball,Basketball,Bowling,Cross Country,Indoor Track,Outdoor Track,Soccer,Tennis,Volleyball,Basketball,Bowling,Soccer,Softball,Table Tennis,Volleyball",Grade 11 students take a mandated SAT prep program designed and taught by MCSM teachers. This program has significantly raised average SAT scores.,2,0% of offers went to this group,0.97000003,"We are a college preparatory high school. Course offerings and high standards enable students to succeed after graduation at the nation's most selective colleges. Our teachers provide each student with personalized attention and guidance. We provide four years of science and math with extensive liberal arts. Every freshman will take a year-long writing intensive small class-size English course to prepare them for college. Most students take Advanced Placement (AP) courses. Many of our students take college courses though Columbia University DDC and CUNY College Now program. Our students participate in scientific research with university mentors, some resulting in publication. A new SAT/ACT initiative helps students' competitive standings."
04M435,program3,Manhattan Center for Science and Mathematics D75 Inclusion Program,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Manhattan Center for Science and Mathematics,NA,"260 Pleasant Avenue, Manhattan NY 10029 (40.794184,-73.932868)",mcsm.net,1647,"10th Grade Seats Available,Career and Technical Education (CTE)",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/19499,NA,NA,NA,NA,NA,NA,No Priority,NA,40.794184,-73.932868,0,Spanish,,M16U,M16U Manhattan Center for Science and Mathematics D75 Inclusion Program,,,"French, Spanish",East Harlem North,"04M435,Manhattan Center for Science and Mathematics,French,Spanish,East Harlem North",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Baseball,Basketball,Bowling,Cross Country,Indoor Track,Outdoor Track,Soccer,Tennis,Volleyball,Basketball,Bowling,Soccer,Softball,Table Tennis,Volleyball",Grade 11 students take a mandated SAT prep program designed and taught by MCSM teachers. This program has significantly raised average SAT scores.,3,,0.97000003,"We are a college preparatory high school. Course offerings and high standards enable students to succeed after graduation at the nation's most selective colleges. Our teachers provide each student with personalized attention and guidance. We provide four years of science and math with extensive liberal arts. Every freshman will take a year-long writing intensive small class-size English course to prepare them for college. Most students take Advanced Placement (AP) courses. Many of our students take college courses though Columbia University DDC and CUNY College Now program. Our students participate in scientific research with university mentors, some resulting in publication. A new SAT/ACT initiative helps students' competitive standings."
04M495,program1,Park East High School,37,21,NA,NA,Open to New York City residents,NA,NA,NA,2018-19 ELA/Math State Test Scores - 10%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 50%,NA,NA,Park East High School,Priority to applicants eligible for free or reduced price lunch for 66% of seats,"230 East 105th Street, Manhattan NY 10029 (40.790191,-73.944092)",www.parkeasths.org,380,"10th Grade Seats Available,College Trips,Diversity in Admissions,Online Grading System,Orientation,Uniform",Not Accessible,https://www.myschools.nyc/en/schools/high-school/19722,2018-19 ELA/Math State Test Scores,2018-19 Final Grades,2019-20 Marking Period Grades,NA,NA,TRUE,to NYC residents,37,40.790191,-73.944092,0,No ELL Programs,Humanities & Interdisciplinary,M17J,M17J Park East High School,"Partnerships: Heckscher Scholars Program, College Bound Initiative, Scholars for Educational Opportunity (SEO)  MS2Squared, OPPNet, Mount Sinai Hospital MedDocs Program, and Urban Arts Partnership  Clubs, Activities and Sports: Honors Book Club, After-School Tutoring, Annual Career Day, SAT Prep,  PRIDE Council, Gender and Sexuality Alliance, Art Club and Exhibition, College/Cultural Trip to Boston, Conflict Mediation, Thinkers Club, Honors Awards Night, Improv Club,Cooking Club, Crochet Club, Board Card and Gaming Club, International Travel Club, Intra-School Advisory Team-Building and Competition, Welcome Week, Yearbook,  and Dance Team","Volleyball Club, Basketball Club And Fitness",Spanish,East Harlem South,"04M495,Park East High School,Humanities & Interdisciplinary,Partnerships: Heckscher Scholars Program,College Bound Initiative,Scholars for Educational Opportunity (SEO)  MS2Squared,OPPNet,Mount Sinai Hospital MedDocs Program,and Urban Arts Partnership  Clubs,Activities and Sports: Honors Book Club,After-School Tutoring,Annual Career Day,SAT Prep, PRIDE Council,Gender and Sexuality Alliance,Art Club and Exhibition,College/Cultural Trip to Boston,Conflict Mediation,Thinkers Club,Honors Awards Night,Improv Club,Cooking Club,Crochet Club,Board Card and Gaming Club,International Travel Club,Intra-School Advisory Team-Building and Competition,Welcome Week,Yearbook, and Dance Team,Volleyball Club,Basketball Club And Fitness,Spanish,East Harlem South",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Baseball,Basketball,Bowling,Football,Outdoor Track,Soccer,Volleyball,Wrestling,Basketball,Flag Football,Golf,Outdoor Track,Soccer,Softball,Volleyball,Volleyball Club,Basketball Club And Fitness",College Bound Initiative,1,,0.95999998,"Our motto is 'Purpose, Preparation, Pride.' We are a school that values community, and strong relationships to ensure academic success. Because of our highly structured four-year advisory system, we help students develop individual and social responsibility by setting the highest personal and academic standards. Our course selection is rigorous and is college preparatory. Our students acquire a set of values and a sense of kinship that allows them to reach ambitious goals. We develop rich, caring, and warm relationships with our students through our bustling sports and after-school programs. Our students are welcomed and valued members of our school community; their voices are heard and they are at the center of everything we do."
04M555,program1,Central Park East,48,24,NA,NA,Open to New York City residents,NA,NA,NA,2018-19 ELA/Math State Test Scores - 10%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 50%,NA,NA,Central Park East High School,Priority to applicants eligible for free or reduced price lunch for 66% of seats,"1573 Madison Avenue, Manhattan NY 10029 (40.793649,-73.948488)",centralparkeasths.org,512,Diversity in Admissions,Not Accessible,https://www.myschools.nyc/en/schools/high-school/16466,2018-19 ELA/Math State Test Scores,2018-19 Final Grades,2019-20 Marking Period Grades,NA,NA,TRUE,to NYC residents,48,40.793649,-73.948488,0,No ELL Programs,Humanities & Interdisciplinary,M86A,M86A Central Park East,"National Honor Society, Student Council, International Travel Club, Class of Consciousness Club, The Brotherhood/SisterSol, The Madison Times School Newspaper, LGBTQ Club, Green Team, Lab Tech Club, Community Service Club, Girls, Inc., Debate Club, Link NYC Digital Media Club, Improv Theatre, Photography, Dance, Computer Coding, Double Discovery, Minds Matter, Sponsors for Educational Opportunity (SEO), Step-Up Program, Opportunity Network, Girls Who Crush Rock Climbing, Mt. Sinai Hospital MedDocs Program, Futures and Options,  Internships, Yearbook Club, High School Law Institute","Badminton Club, Soccer Club, Frisbee Club, Cheerleading",Spanish,East Harlem South,"04M555,Central Park East High School,Humanities & Interdisciplinary,National Honor Society,Student Council,International Travel Club,Class of Consciousness Club,The Brotherhood/SisterSol,The Madison Times School Newspaper,LGBTQ Club,Green Team,Lab Tech Club,Community Service Club,Girls,Inc.,Debate Club,Link NYC Digital Media Club,Improv Theatre,Photography,Dance,Computer Coding,Double Discovery,Minds Matter,Sponsors for Educational Opportunity (SEO),Step-Up Program,Opportunity Network,Girls Who Crush Rock Climbing,Mt. Sinai Hospital MedDocs Program,Futures and Options, Internships,Yearbook Club,High School Law Institute,Badminton Club,Soccer Club,Frisbee Club,Cheerleading,Spanish,East Harlem South",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Baseball,Basketball,Bowling,Football,Outdoor Track,Soccer,Volleyball,Wrestling,Basketball,Flag Football,Golf,Outdoor Track,Soccer,Softball,Volleyball,Badminton Club,Soccer Club,Frisbee Club,Cheerleading",Three Week Summer Bridge Program,1,,1,"Central Park East HS reflects NYC's cultural diversity. Our rigorous academic program provides a wide range of college preparatory and AP courses that prepare our students for the most competitive colleges and universities. Students engage in college access workshops through our four year College Seminar Program, which culminates in a senior internship. In addition to required coursework, students participate in academic enrichment programs that provide SAT prep, mentoring, and college access opportunities. Students build community through our Peer Mentoring program, and a variety of extra-curricular clubs, athletics, and leadership opportunities. We are deeply committed to our students' academic, social and emotional well-being."
04M610,program1,Young Women's Leadership School,12,5,Open only to Female-Identified students,"TYWLS offers an academically rigorous college-prep program to all our students including opportunities to take higher level math and science classes and a range of AP courses. All students participate in a robust college advising program, The College Bound Initiative, beginning in the 9th grade.",Priority to continuing 8th graders,Then to District 4 students or residents,Then to New York City residents,NA,2018-19 ELA/Math State Test Scores - 34%,2018-19 Final Grades - 33%,2019-20 Marking Period Grades - 33%,NA,NA,Young Women's Leadership School (TYWLS),NA,"105 East 106th Street, New York NY 10029 (40.792932,-73.947171)",www.tywls.org,474,10th Grade Seats Available,Fully Accessible,https://www.myschools.nyc/en/schools/high-school/14819,2018-19 ELA/Math State Test Scores,2018-19 Final Grades,2019-20 Marking Period Grades,NA,NA,TRUE,to continuing 8th graders,12,40.792932,-73.947171,0,No ELL Programs,Science & Math,M96A,M96A Young Women's Leadership School,,,"Italian, Spanish",East Harlem South,"04M610,Young Women's Leadership School (TYWLS),Science & Math,Italian,Spanish,East Harlem South",FALSE,1,NA,NA,NA,NA,NA,NA,NA,"Baseball,Basketball,Bowling,Football,Outdoor Track,Soccer,Volleyball,Wrestling,Basketball,Flag Football,Golf,Outdoor Track,Soccer,Softball,Volleyball","All students engage in an academically rigorous college-prep course of study, with the opportunity to take upper level science and math courses.",1,42% of offers went to this group,0.99000001,"The Young Women's Leadership School of East Harlem opened in 1996 as the first in a national network of all-girls college prep schools. TYWLS nurtures the intellectual curiosity and creativity of young women by supporting the whole girl in order to maximize academic achievement, social and emotional well-being, and post-secondary success. Our support structures include daily advisory, after-school academic tutoring, and regular contact with parents. The Young Women's Leadership Network supports our school with a wide range of leadership programs. The CollegeBound Initiative (CBI) provides college access support with a full-time CBI college counselor on our staff who guides each of our students through the college application process."
04M680,program1,The Heritage School,8,10,NA,NA,Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,"Heritage School, The",Priority to District 4 residents eligible for free or reduced price lunch for 43% of seats,"1680 Lexington Avenue, Manhattan NY 10029 (40.791966,-73.946879)",https://www.theheritageschoolnyc.com/,311,"10th Grade Seats Available,College Trips,Community School,Diversity in Admissions,Dress Code,Extended Day Program,Online Grading System,Summer Internships,Uniform,Weekend Programs",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/14884,NA,NA,NA,NA,NA,NA,to NYC residents,8,40.791966,-73.946879,0,No ELL Programs,Health Professions,M97A,M97A The Heritage School,,,Spanish,East Harlem South,"04M680,Heritage School,The,Health Professions,Spanish,East Harlem South",TRUE,NA,NA,NA,NA,NA,NA,NA,NA,"Baseball,Basketball,Bowling,Football,Outdoor Track,Soccer,Volleyball,Wrestling,Basketball,Flag Football,Golf,Outdoor Track,Soccer,Softball,Volleyball",A Humanities and Interdisciplinary approach for 9th and 10th grade; additional math and science for 11th and 12th grade students,1,,0.89999998,"The Heritage School, founded in 1996, is a partnership between the New York City Department of Education and Teachers College, Columbia University. We are a small learning community that fosters the development of respectful citizens and leaders who possess the academic and social skills as well as the habits of mind to be successful in higher education and the world beyond. In addition to our comprehensive curriculum, The Heritage School is fortunate to be in a building and neighborhood that is immersed in culture, community, and pride."
05M148,program1,Eagle Academy for Young Men of Harlem,2,4,Open only to Male-Identified students,"Eagle Academy will prepare scholars for their choice of colleges and careers. Our young men will not only leave our program academically sound, but culturally competent and armed with a strong sense of self.",Priority to continuing 8th graders,Then to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,Eagle Academy for Young Men of Harlem,NA,"6 Edgecombe Avenue, Manhattan NY 10030 (40.817228,-73.947151)",eagleharlem.org,382,"College Trips,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Weekend Programs",Not Accessible,https://www.myschools.nyc/en/schools/high-school/19312,NA,NA,NA,NA,NA,NA,to continuing 8th graders,2,40.817228,-73.947151,0,No ELL Programs,Humanities & Interdisciplinary,Y41A,Y41A Eagle Academy for Young Men of Harlem,,,Spanish,Central Harlem North,"05M148,Eagle Academy for Young Men of Harlem,Humanities & Interdisciplinary,Spanish,Central Harlem North",FALSE,NA,1,NA,NA,NA,NA,NA,NA,"Baseball,Basketball,Volleyball,Basketball,Volleyball,Golf","Business, Law, Social Justice & Technology elective tracks.",1,12% of offers went to this group,NA,"Eagle Academy Harlem is a 6 through 12 college preparatory school that develops young men to be critical thinkers and active citizens who embody excellence in both character and scholarship. We prepare our young men for life after high school. Our young men give back to their communities through service opportunities and social justice experiences. We believe that young men are best developed when being supported through uniting the work of dedicated educators, supportive parents, and actively engaged mentors. We are focused and committed to the school's guiding principles of Academic Excellence, Mentoring, Leadership, Integrity, Character Development, and Community Service."
05M157,program1,The Urban Assembly School for Global Commerce,2,3,NA,Career program developed in response to future employment opportunity and potential for career growth; Mission-based learning in the field of global commerce in developing solutions for complex transportation and logistical systems; Professional development through work-based learning experiences and internships; Coursework culminates with a portfolio and Industry Standard certifications.,Priority to Manhattan students or residents,Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,"Urban Assembly School for Global Commerce, The",NA,"2005 Madison Avenue, Manhattan NY 10035 (40.807019,-73.938714)",uaglobalcommerce.org,233,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Tutoring,Internships Available,Online Grading System,Orientation,Summer Internships,Uniform,Weekend Programs",Fully Accessible,https://www.myschools.nyc/en/schools/high-school/17617,NA,NA,NA,NA,NA,NA,to Manhattan residents,2,40.807019,-73.938714,0,No ELL Programs,Engineering,M48A,M48A The Urban Assembly School for Global Commerce,,,"Mandarin, Spanish",Central Harlem North,"05M157,Urban Assembly School for Global Commerce,The,Engineering,Mandarin,Spanish,Central Harlem North",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,,AP Coursework,1,60% of offers went to this group,0.74000001,"UASGC provides students with a career-centered, college-preparatory education focused on business and engineering pathways in the field of global commerce. Our small size ensures that all students are known well and strongly supported by their teachers in and out of the classroom. Industry partners provide students with paid internships starting as early as 10th grade. Students go on frequent field trips to industry sites to learn about different career pathways. Class sizes are small, with a focus on collaborative learning through rigorous coursework. AP Courses are offered starting in 10th grade, along with two language programs in Spanish and Mandarin (Chinese). Eleventh graders can attend Hostos Community College for college coursework."
05M304,program1,Mott Hall High School,3,4,NA,NA,"Priority to Mott Hall, Mott Hall II, and Mott Hall III Middle School students",Then to New York City residents,NA,NA,NA,NA,NA,NA,NA,Mott Hall High School,NA,"6 Edgecombe Avenue, Manhattan NY 10030 (40.817228,-73.947151)",motthallhs.org,239,"College Trips,Dress Code,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Online Grading System,Orientation,Summer Orientation,Uniform,Weekend Programs",Not Accessible,https://www.myschools.nyc/en/schools/high-school/15976,NA,NA,NA,NA,NA,NA,Other,3,40.817328,-73.947051,1,No ELL Programs,Science & Math,M49X,M49X Mott Hall High School,,,Spanish,Central Harlem North,"05M304,Mott Hall High School,Science & Math,Spanish,Central Harlem North",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Baseball,Basketball,Volleyball,Basketball,Volleyball,Golf","LearnerPal: Program for expanded online coursework, self-paced and Regents Prep",1,0% of offers went to this group,0.63999999,"Mott Hall High School was founded in September 2004. Mott Hall High School's instructional program is designed to provide students with the knowledge base, attitudes, and competencies they need in order to pursue higher learning. Utilizing a challenging curriculum, we focus on academics, college and career readiness. Students use technology in the classroom and are active participants in their learning and education. Students are challenged to question, anticipate and solve problems. The staff at Mott Hall High School not only encourage creativity and critical thinking, but self- discipline and responsibility. We are committed to helping students grow into leaders, independent thinkers, and enthusiastic lifelong learners."
05M362,program1,Columbia Secondary School,54,15,NA,NA,Priority to continuing 8th graders,Then to New York City residents,NA,NA,2018-19 ELA/Math State Test Scores - 40%,2018-19 Final Grades - 40%,2019-20 Marking Period Grades - 20%,NA,NA,Columbia Secondary School,NA,"425 West 123rd Street, Manhattan NY 10027 (40.810793,-73.955722)",www.columbiasecondary.org,698,"Career and Technical Education (CTE),Dress Code,Extended Day Program,Online Grading System,Orientation",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/15392,2018-19 ELA/Math State Test Scores,2018-19 Final Grades,2019-20 Marking Period Grades,NA,NA,TRUE,to continuing 8th graders,54,40.810793,-73.955722,0,No ELL Programs,Science & Math,A15A,A15A Columbia Secondary School,,,"French, Greek, Korean, Spanish",Morningside Heights,"05M362,Columbia Secondary School,Science & Math,French,Greek,Korean,Spanish,Morningside Heights",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Basketball,Rugby,Soccer,Basketball,Cross Country,Rugby,Soccer,Volleyball","Students take Philosophy, Engineering, Spanish, Creative Arts, and an Elective- Math, Science, and Engineering Program",1,62% of offers went to this group,0.95999998,"Columbia Secondary School (CSS) is a school serving grades six through twelve which specializes in academically talented students who have an interest in a selective and demanding program focusing on math, science, and engineering. CSS immerses students in science and math as a way of making sense of the world. Learning experiences focus on active exploration of major concepts, ideas, and theories that respond to life's big questions. Our students become aware of their responsibilities to their communities and to the world. At CSS, students engage in their own explorations so that they may experience the excitement of discovery."
05M369,program1,Urban Assembly School for the Performing Arts,5,5,NA,NA,Open to New York City residents,NA,NA,NA,NA,NA,NA,NA,NA,Urban Assembly School for the Performing Arts,NA,"509 West 129th Street, Manhattan NY 10027 (40.815747,-73.95552)",www.uaperformingarts.org,380,"10th Grade Seats Available,College Trips,Community Service Expected,Dress Code,Extended Day Program,Health Center,Multi-Session School,Online Grading System,Orientation,Summer Bridge,Weekend Programs",Not Accessible,https://www.myschools.nyc/en/schools/high-school/17152,NA,NA,NA,NA,NA,NA,to NYC residents,5,40.815747,-73.95552,0,No ELL Programs,Performing Arts,M04A,M04A Urban Assembly School for the Performing Arts,National Honor Society Yearbook EPIC Theatre Ensemble Student Government Gender & Sexuality Alliance (GSA) Tutoring/ Saturday Academy Peer Group Connection (PGC) Student Ambassador Club,"Cheerleading Team, Boys Basketball, Girls Basketball, Girls Volleyball",Spanish,Manhattanville,"05M369,Urban Assembly School for the Performing Arts,Performing Arts,National Honor Society Yearbook EPIC Theatre Ensemble Student Government Gender & Sexuality Alliance (GSA) Tutoring/ Saturday Academy Peer Group Connection (PGC) Student Ambassador Club,Cheerleading Team,Boys Basketball,Girls Basketball,Girls Volleyball,Spanish,Manhattanville",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Basketball,Basketball,Softball,Cheerleading Team,Boys Basketball,Girls Basketball,Girls Volleyball",Access for All: We are a non-audition performing arts High School with students from all 5 Boroughs,1,,0.73000002,"The Urban Assembly School for the Performing Arts (UASPA) is a college-preparatory, performing arts high school. At UASPA, we believe that all students deserve access to a rigorous academic and artistic high school experience; therefore, we do not screen or audition our students. We have partnerships with organizations, such as Tony Bennett Foundation/Exploring the Arts, Martha Graham Dance Company, and EPIC Theatre Ensemble, that support our teachers with improving arts-infused instruction and provide students with exceptional art and career based learning experiences. We are also partnered with College Bound Initiative, a vital partner that enables us to maximize students' college awareness, access, placement, and financial aid awards."
05M499,program1,Frederick Douglass Academy for the Humanities (FDAH),4,4,NA,"This program will prepare students for their choice of college studies and careers. Students are expected to take a minimum of two AP or CUNY College Now courses for which they are eligible which may include AP United States History, AP Microeconomics, AP European History, AP English, AP Spanish, AP Biology, AP Statistics, AP Calculus, AP Physics, and AP French. SUNY Old Westbury English Composition, College Algebra.",Priority to continuing 8th graders,"Then to Districts 3, 4, and 5 students or residents",Then to New York City residents,NA,2018-19 ELA/Math State Test Scores - 40%,2018-19 Final Grades - 30%,2019-20 Marking Period Grades - 30%,NA,NA,Frederick Douglass Academy,NA,"2581 7th Avenue, Manhattan NY 10039 (40.823988,-73.935746)",fda1.org,1072,"10th Grade Seats Available,College Trips,Dress Code,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation,Uniform,Weekend Programs",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/18464,2018-19 ELA/Math State Test Scores,2018-19 Final Grades,2019-20 Marking Period Grades,NA,NA,TRUE,to continuing 8th graders,4,40.823988,-73.935746,0,No ELL Programs,Humanities & Interdisciplinary,M75A,M75A Frederick Douglass Academy for the Humanities (FDAH),,,"French, Japanese, Spanish",Central Harlem North,"05M499,Frederick Douglass Academy,Humanities & Interdisciplinary,French,Japanese,Spanish,Central Harlem North",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Baseball,Basketball,Fencing,Football,Indoor Track,Lacrosse,Outdoor Track,Soccer,Tennis,Volleyball,Wrestling,Basketball,Fencing,Lacrosse,Soccer,Softball,Tennis,Volleyball,Wrestling,Double Dutch","CUNY College Now, Summer NYU, Syracuse, and Ithaca College Enrichment, Harlem DNA Lab partnership, SAT Prep, College Tours/Visits, HBO Mentoring",1,23% of offers went to this group,0.81999999,"The Frederick Douglass Academy is a screened college preparatory school located in north Harlem. We are tremendously successful at sending students to top colleges throughout the country. High expectations and a challenging, rigorous curriculum are at the core of our mission; to equip students with the necessary tools and skills to become standouts in college and beyond. In our competitive school environment, each student is given an opportunity to select and attend one of our two academies within our school based on their individual interests."
05M499,program2,"Science, Technology, Engineering, and Mathematics (STEM)",5,3,NA,"This program will prepare students for college studies and careers in Science, Technology, Engineering, Mathematics, and Medicine. Students will have access to elective courses such as Robotics, Aeronautics/Aviation, Anatomy & Physiology, and Forensic Science. Students are expected to take a minimum of two AP or CUNY College Now courses for which they are eligible and may include AP Calculus, AP Statistics, AP Biology, AP Chemistry, and AP Physics.",Priority to continuing 8th graders,"Then to Districts 3, 4, and 5 students or residents",Then to New York City residents,NA,2018-19 ELA/Math State Test Scores - 40%,2018-19 Final Grades - 30%,2019-20 Marking Period Grades - 30%,NA,NA,Frederick Douglass Academy,NA,"2581 7th Avenue, Manhattan NY 10039 (40.823988,-73.935746)",fda1.org,1072,"10th Grade Seats Available,College Trips,Dress Code,Extended Day Program,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation,Uniform,Weekend Programs",Partially Accessible,https://www.myschools.nyc/en/schools/high-school/18464,2018-19 ELA/Math State Test Scores,2018-19 Final Grades,2019-20 Marking Period Grades,NA,NA,TRUE,to continuing 8th graders,5,40.823988,-73.935746,0,No ELL Programs,Science & Math,M75B,"M75B Science, Technology, Engineering, and Mathematics (STEM)",,,"French, Japanese, Spanish",Central Harlem North,"05M499,Frederick Douglass Academy,Science & Math,French,Japanese,Spanish,Central Harlem North",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,"Baseball,Basketball,Fencing,Football,Indoor Track,Lacrosse,Outdoor Track,Soccer,Tennis,Volleyball,Wrestling,Basketball,Fencing,Lacrosse,Soccer,Softball,Tennis,Volleyball,Wrestling,Double Dutch","CUNY College Now, Summer NYU, Syracuse, and Ithaca College Enrichment, Harlem DNA Lab partnership, SAT Prep, College Tours/Visits, HBO Mentoring",2,3% of offers went to this group,0.81999999,"The Frederick Douglass Academy is a screened college preparatory school located in north Harlem. We are tremendously successful at sending students to top colleges throughout the country. High expectations and a challenging, rigorous curriculum are at the core of our mission; to equip students with the necessary tools and skills to become standouts in college and beyond. In our competitive school environment, each student is given an opportunity to select and attend one of our two academies within our school based on their individual interests."
